                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.79817,                0.60181,                 1.0166,                0.93249,                0.97205,                0.98431,                 0.8541,                0.58816,                0.41066,                0.89886,               0.000845,               0.000845,               0.000845
                     38,                0.78351,                0.59994,                  1.032,                0.92667,                0.98107,                0.98738,                0.85291,                0.58916,                0.40044,                0.89005,               0.000812,               0.000812,               0.000812
                     39,                0.76788,                0.58696,                 1.0169,                0.94086,                0.95963,                0.98394,                 0.8499,                0.59706,                0.41787,                0.89222,               0.000779,               0.000779,               0.000779
                     40,                0.76466,                0.57866,                 1.0135,                0.91601,                0.98137,                0.97805,                0.84107,                0.58751,                0.42887,                0.89146,               0.000746,               0.000746,               0.000746
                     41,                0.75667,                0.56492,                 1.0146,                0.95093,                  0.963,                0.98632,                0.85903,                0.58098,                 0.3971,                0.88533,               0.000713,               0.000713,               0.000713
                     42,                0.75589,                 0.5622,                 1.0113,                0.91402,                0.98137,                0.98348,                0.85343,                0.56876,                0.41895,                 0.8788,                0.00068,                0.00068,                0.00068
                     43,                0.73415,                0.55709,                 1.0017,                 0.9393,                0.96584,                0.98445,                0.85989,                 0.5737,                0.39742,                0.88761,               0.000647,               0.000647,               0.000647
                     44,                0.72251,                0.54502,                0.99851,                  0.925,                0.95751,                0.98307,                0.84955,                0.58335,                0.42544,                0.89036,               0.000614,               0.000614,               0.000614
                     45,                0.71138,                0.52951,                 1.0021,                0.93397,                0.96635,                0.97991,                0.85464,                0.56161,                 0.4058,                0.87638,               0.000581,               0.000581,               0.000581
                     46,                0.71967,                0.53275,                0.99421,                 0.9482,                0.96642,                0.98348,                0.85974,                0.56333,                0.39037,                0.87157,               0.000548,               0.000548,               0.000548
                     47,                0.72403,                0.53189,                 0.9963,                0.92269,                0.98137,                0.98391,                0.86216,                0.57052,                0.40014,                0.87112,               0.000515,               0.000515,               0.000515
                     48,                0.71121,                0.52172,                0.98957,                0.92413,                 0.9835,                0.98168,                0.86085,                0.54855,                0.39469,                0.87061,               0.000482,               0.000482,               0.000482
                     49,                0.68626,                 0.5127,                0.99437,                0.94283,                0.97319,                0.98217,                0.87036,                 0.5465,                0.38587,                0.87576,               0.000449,               0.000449,               0.000449
                     50,                0.68753,                0.51211,                0.99107,                0.93721,                0.97344,                0.98443,                 0.8712,                0.53124,                0.38724,                0.87363,               0.000416,               0.000416,               0.000416
                     51,                0.52329,                0.39144,                0.89918,                0.92696,                0.98534,                0.98477,                0.87339,                0.52066,                 0.3666,                0.86679,               0.000383,               0.000383,               0.000383
                     52,                0.51239,                0.37391,                0.89732,                0.94028,                0.97798,                0.98393,                0.87007,                0.53371,                0.37596,                0.85977,                0.00035,                0.00035,                0.00035
                     53,                0.52292,                 0.3789,                0.90807,                0.93212,                0.98087,                0.98473,                0.88222,                0.51174,                0.37277,                0.86272,               0.000317,               0.000317,               0.000317
                     54,                0.50298,                 0.3706,                0.88727,                0.94846,                0.96584,                0.98533,                0.88395,                 0.5116,                0.35585,                0.86496,               0.000284,               0.000284,               0.000284
                     55,                0.48764,                0.36207,                0.87945,                0.93497,                0.97826,                0.98507,                0.88731,                0.50156,                0.35174,                0.85995,               0.000251,               0.000251,               0.000251
                     56,                0.48613,                0.35017,                0.88824,                0.94863,                0.97494,                 0.9866,                0.88743,                0.49273,                0.34386,                0.85976,               0.000218,               0.000218,               0.000218
                     57,                0.48319,                0.34664,                0.88886,                0.93916,                0.97205,                0.98626,                0.89281,                0.49589,                0.34174,                0.86284,               0.000185,               0.000185,               0.000185
                     58,                0.48214,                0.34011,                0.88901,                0.94504,                0.97826,                0.98777,                0.89494,                0.48996,                0.33889,                0.85938,               0.000152,               0.000152,               0.000152
                     59,                0.47816,                0.33985,                0.89283,                0.94993,                0.97516,                0.98748,                0.89296,                0.48379,                0.33289,                0.85615,               0.000119,               0.000119,               0.000119
                     60,                0.47308,                 0.3351,                0.89093,                0.95284,                0.97516,                0.98778,                 0.8985,                0.47549,                0.33297,                0.84996,                8.6e-05,                8.6e-05,                8.6e-05
